Doc_ID,Posting_Date,Company_Code,GL_Account,Cost_Center,Currency,Amount,Document_Type,User_ID,Text,Reference,is_anomaly,anomaly_type,has_data_issue,data_issue_type
1007768,01-May-2023,TP02,100010,MKT01,USD,4987.88,KR,usr_david,Payment for machinery,INV-29073,False,,True,incorrect_date_format
1001944,01.05.2023,TP02,100030,HR02,EUR,4725.38,KZ,usr_joel,Purchase of software,REF-77270,False,,True,incorrect_date_format
1003550,01.11.2024,TP01,500010,IT01,EUR,-2153.84,RE,usr_alex,Payment for subscriptions,INV-79565,False,,True,incorrect_date_format
1008223,01/03/2024,TP01,200020,OPS03,EUR,-4974.52,AB,usr_james,Monthly payment for utilities,REF-77309,False,,True,incorrect_date_format
1006531,01/05/2023,TP01,400030,LOG01,EUR,730.53,KR,usr_ava,Commission for utilities,INV-58405,False,,True,incorrect_date_format
1000338,02-Nov-2023,TP01,300020,HR02,CAD,14554.54,KZ,usr_tina,Reserve allocation,REF-61477,False,,True,incorrect_date_format
1001317,02.02.2024,TP01,400030,LOG02,EUR,2001.8,KR,usr_noah,Service fee from TechStartup Inc,INV-13842,False,,True,incorrect_date_format
1006476,02.07.2024,TP02,300020,FIN01,USD,3178.74,AB,usr_sarah,Capital contribution,REF-10168,False,,True,incorrect_date_format
1010502,02/02/2023,TP01,100030,FIN02,USD,5372.91,RE,usr_sarah,Purchase of furniture,INV-89444,False,,True,incorrect_date_format
1005202,02/20/2023,TP01,300020,HR02,EUR,7471.9,SA,usr_joel,Investment return,REF-71596,False,,True,incorrect_date_format
1010043,03/05/2023,TP01,500020,MKT02,EUR,-788.05,KZ,usr_emma,Charge for subscriptions,REF-22353,False,,True,incorrect_date_format
1010186,03/05/2024,TP01,100020,MKT01,EUR,2612.15,KZ,usr_david,Acquisition of equipment,REF-95879,False,,True,incorrect_date_format
1002052,03/13/2024,TP02,300010,FIN02,USD,2342.32,JV,usr_sarah,Reserve allocation,JV-69561,False,,True,incorrect_date_format
1006060,04/04/2024,TP02,100010,SAL02,USD,4863.59,DZ,usr_tom,Payment for software,REF-71095,False,,True,incorrect_date_format
